timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716867702990,2157,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,10815,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2500&TO=2112&STNM=60390,2157,0,612
1716867702646,4337,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,183276,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1400&TO=2812&STNM=26477,3950,0,635
1716867704043,4326,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,438201,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=300&TO=1412&STNM=72440,3718,0,617
1716867711051,2286,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,11028,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2100&TO=1212&STNM=60390,2285,0,611
1716867709818,3745,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,236509,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2000&TO=2712&STNM=72672,3187,0,607
1716867710760,3952,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,175696,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=600&TO=2012&STNM=26477,3571,0,692
1716867711450,3369,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,1184,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2300&TO=1412&STNM=93112,3369,0,639
1716867713922,1066,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,10876,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1900&TO=1012&STNM=94866,1065,0,635
1716867719834,1381,University of Wyoming - Sonde Page,400,Bad Request,Main Group 1-4,text,false,,204,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2300&TO=012&STNM=93112,1378,0,627
1716867716536,4952,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,446179,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=900&TO=2612&STNM=72672,4368,0,651
1716867718415,4968,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,468072,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=500&TO=1712&STNM=72440,4225,0,597
1716867719301,4889,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,173148,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=300&TO=2112&STNM=60390,4496,0,604
1716867719797,5189,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,85281,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1600&TO=2212&STNM=26477,4992,0,620
1716867723566,2664,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,11277,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1000&TO=812&STNM=94866,2664,0,624
1716867725403,1170,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,11026,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2100&TO=912&STNM=60390,1170,0,639
1716867724652,5717,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,539038,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=400&TO=1812&STNM=72440,4971,0,642
1716867728221,2971,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,121327,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=700&TO=1212&STNM=94866,2598,0,644
1716867729327,2776,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,21735,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2600&TO=1412&STNM=72440,2775,0,650
1716867728655,3817,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,238819,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=700&TO=1912&STNM=93112,3245,0,633
1716867729879,2835,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,37423,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1000&TO=1212&STNM=26477,2828,0,671
1716867734025,2283,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,12771,208,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=900&TO=312&STNM=72672,2283,0,605
1716867739453,1436,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,13705,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1600&TO=712&STNM=72672,1435,0,641
1716867739999,1412,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,11026,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2100&TO=1012&STNM=60390,1412,0,637
1716867739376,2860,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,20333,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2000&TO=112&STNM=72440,2858,0,647
1716867737813,4884,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,137485,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=100&TO=1212&STNM=26477,4513,0,627
1716867740407,3233,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,34819,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2700&TO=2812&STNM=93112,3229,0,637
1716867741581,4653,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,460109,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=200&TO=2412&STNM=94866,3913,0,631
1716867743754,4319,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,93454,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2300&TO=2712&STNM=93112,4125,0,629
1716867745796,8546,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,18852,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1800&TO=1312&STNM=72440,8546,0,630
1716867749357,5514,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,3547,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1800&TO=1012&STNM=26477,5513,0,631
1716867749934,4975,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,9721,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1800&TO=1412&STNM=60390,4975,0,630
1716867750819,5229,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,90416,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2300&TO=2512&STNM=72672,5036,0,633
1716867754775,5394,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,390396,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=800&TO=2712&STNM=94866,4824,0,642
1716867760867,2861,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,31123,208,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=500&TO=612&STNM=93112,2857,0,634
1716867759220,4721,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,282632,208,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=100&TO=712&STNM=72440,4157,0,630
1716867761567,3003,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,98751,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1200&TO=2212&STNM=60390,2774,0,631
1716867763193,2286,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,12691,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1100&TO=412&STNM=72672,2286,0,631
1716867764884,3135,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,78479,208,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=300&TO=912&STNM=26477,2945,0,635
1716867767790,1301,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,9876,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1700&TO=1112&STNM=60390,1301,0,619
1716867767697,2756,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,22694,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1800&TO=1912&STNM=26477,2755,0,591
1716867769929,2374,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,10877,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1800&TO=412&STNM=94866,2374,0,630
